horizon,t-11,t-10,t-9,t-8,t-7,t-6,t-5,t-4,t-3,t-2,t-1,t+0
1,0.1280982645559689,0.14838881400811443,0.1305881885818015,0.10421748123514558,0.08295860943950856,0.0686277651975811,0.060364159425279694,0.05554759556412832,0.053580201225669574,0.0536900338878178,0.05538588701531139,0.058553001078716894
2,0.10836756290152821,0.12999354334946803,0.1266828566148354,0.11286562458440104,0.09369177861499894,0.07577549884705419,0.06456120286900487,0.05845458618241825,0.05578575682397067,0.055532985338403305,0.057327659186798476,0.060960950829839655
3,0.09132285762076199,0.11345858029843997,0.1180041424955409,0.11576213599061372,0.10413091342014473,0.0860413403365242,0.07086612900143166,0.0621492436086065,0.05839040406292994,0.0575625872152983,0.059267641328874285,0.06304402516085321
4,0.07669735818865075,0.09569144343465803,0.10459829969827343,0.10990059956283829,0.10905826834293077,0.09840759226581923,0.082696499937928,0.07037639698922836,0.06400989514110042,0.06156778065561573,0.06213897230401044,0.06485689077884937
5,0.06583154572770927,0.07985984509555562,0.09013969549911344,0.09895852441020891,0.10524330754782309,0.10447139513182073,0.09607046025795683,0.08342929253626788,0.07364307200517146,0.06821476670650771,0.0666127110391619,0.06752539342554077
6,0.057598605971374166,0.0670105405194033,0.07677751529797287,0.08683119678821326,0.0963081943624287,0.10175385858572487,0.10302513804063117,0.09780895021466679,0.08773167028027509,0.07879148496236833,0.07403493332565843,0.07232791664646274
7,0.05091469818441406,0.05675351349710743,0.06542537112468232,0.07533334119673628,0.08584347424663746,0.09380330369804615,0.10101509337247025,0.10576151775476751,0.10343908534584607,0.09432290472503696,0.08627254695611523,0.08111515023565238
8,0.04565100289147141,0.04837654779073471,0.056024477138929704,0.06529312522603054,0.07565228909355327,0.08419241640602881,0.09351461038989092,0.10436853763066224,0.11281629920950832,0.11240786037250661,0.10502975632353251,0.09667307847218497
9,0.041624761620032286,0.0416857550935324,0.04819004532974952,0.056839811977416714,0.06665570198612061,0.07479269129233614,0.08413842553325579,0.09709337829598484,0.11243178593342869,0.12475286658730944,0.12879241876396966,0.1230023622782827
10,0.03905352254821112,0.037287295202166684,0.0424176975662819,0.05022662358267796,0.05940970991097922,0.06661539952590269,0.07468188821526912,0.08725598822363641,0.10529359118719739,0.1266558621234829,0.1483651411762864,0.16273728475430274
11,0.042561092402359904,0.03709496120634327,0.03953763839207581,0.045773730677629514,0.053727415112919875,0.05977645587273119,0.06618712415511584,0.07709054471682314,0.09514011748109777,0.12093903119269746,0.15655891595583404,0.20561297050553837
12,0.053439795430897316,0.03966943269947782,0.0389182566246387,0.04343475895856812,0.05018505963706754,0.05551662733978755,0.060577762491435726,0.06935712462238386,0.08563133355310253,0.1124140122738727,0.1560661574047257,0.23478968200165176
